rated,winner,increment_code,white_rating,black_rating,victory_status_draw,victory_status_mate,victory_status_outoftime,victory_status_resign,moves_num,opening_num,midMoves_num,pca1,pca2
1.0,white,0.08333333333333334,0.4399791231732776,0.31495633187772926,0.0,0.0,0.0,1.0,0.4126984126984127,0.07407407407407407,0.524390243902439,-0.5335461474807299,-0.19997160494697427
1.0,black,0.044444444444444446,0.3324634655532359,0.30840611353711783,0.0,0.0,0.0,1.0,0.0,0.07407407407407407,0.20731707317073172,-0.5715277796163076,-0.14067200901837904
1.0,black,0.05555555555555556,0.2573068893528183,0.3034934497816593,0.0,0.0,0.0,1.0,0.39682539682539675,0.07407407407407407,0.5121951219512195,-0.527024565688827,-0.19630257472542215
1.0,white,0.08333333333333334,0.30949895615866385,0.3089519650655021,0.0,1.0,0.0,0.0,0.23809523809523808,0.1111111111111111,0.3780487804878049,0.8558192372655195,-0.15432963105608533
1.0,black,0.02777777777777778,0.30323590814196244,0.32696506550218335,0.0,1.0,0.0,0.0,0.1746031746031746,0.0,0.36585365853658536,0.8525716480032589,-0.1496575579255141
1.0,black,0.044444444444444446,0.35229645093945716,0.30676855895196503,0.0,1.0,0.0,0.0,0.30158730158730157,0.0,0.46341463414634154,0.864529674133947,-0.1674607850831285
1.0,white,0.16666666666666669,0.29018789144050106,0.30131004366812225,0.0,1.0,0.0,0.0,0.25396825396825395,0.07407407407407407,0.4024390243902439,0.8597761184302755,-0.15516638399580077
1.0,black,0.044444444444444446,0.2969728601252609,0.27237991266375544,0.0,0.0,0.0,1.0,0.5714285714285714,0.1111111111111111,0.6341463414634146,-0.5105027304715877,-0.22032969070240904
1.0,black,0.05,0.2781837160751566,0.3024017467248908,0.0,0.0,0.0,1.0,0.07936507936507936,0.037037037037037035,0.2804878048780488,-0.5595110894700823,-0.15213482905247913
1.0,white,0.03333333333333333,0.33089770354906056,0.3024017467248908,0.0,0.0,1.0,0.0,0.7936507936507936,0.037037037037037035,0.8292682926829269,0.29572631959177936,-0.27755670589896914
1.0,black,0.08333333333333334,0.29749478079331937,0.31168122270742354,0.0,1.0,0.0,0.0,0.2698412698412698,0.1111111111111111,0.4024390243902439,0.8594984706575378,-0.15881065454986162
1.0,white,0.08333333333333334,0.30741127348643005,0.31004366812227074,0.0,0.0,0.0,1.0,0.30158730158730157,0.1111111111111111,0.426829268292683,-0.5405700131648989,-0.18174472163689642
1.0,black,0.05555555555555556,0.30219206680584554,0.24508733624454143,0.0,0.0,0.0,1.0,0.6825396825396826,0.14814814814814814,0.7073170731707318,-0.4993086140779484,-0.23448935054241943
1.0,black,0.11111111111111112,0.24530271398747394,0.30840611353711783,0.0,0.0,0.0,1.0,0.2857142857142857,0.07407407407407407,0.426829268292683,-0.5383118055035365,-0.17907594081280453
1.0,white,0.016666666666666666,0.2061586638830898,0.3176855895196506,0.0,1.0,0.0,0.0,0.31746031746031744,0.0,0.47560975609756095,0.8718609182550054,-0.16918621651016558
1.0,black,0.02777777777777778,0.31158663883089766,0.3111353711790393,0.0,0.0,1.0,0.0,0.23809523809523808,0.037037037037037035,0.4024390243902439,0.23854873412786473,-0.19824221201184616
1.0,black,0.03888888888888889,0.3079331941544885,0.26364628820960695,0.0,1.0,0.0,0.0,0.31746031746031744,0.07407407407407407,0.451219512195122,0.8673520026840368,-0.1666432909023808
